类别：所有类别

周,数字货币: (全球)
2020-05-31,23
2020-06-07,22
2020-06-14,19
2020-06-21,19
2020-06-28,18
2020-07-05,25
2020-07-12,21
2020-07-19,18
2020-07-26,27
2020-08-02,40
2020-08-09,35
2020-08-16,96
2020-08-23,90
2020-08-30,45
2020-09-06,30
2020-09-13,33
2020-09-20,27
2020-09-27,18
2020-10-04,31
2020-10-11,52
2020-10-18,35
2020-10-25,32
2020-11-01,24
2020-11-08,17
2020-11-15,37
2020-11-22,33
2020-11-29,21
2020-12-06,27
2020-12-13,29
2020-12-20,27
2020-12-27,26
2021-01-03,35
2021-01-10,39
2021-01-17,33
2021-01-24,23
2021-01-31,33
2021-02-07,30
2021-02-14,52
2021-02-21,46
2021-02-28,45
2021-03-07,39
2021-03-14,35
2021-03-21,50
2021-03-28,45
2021-04-04,39
2021-04-11,57
2021-04-18,69
2021-04-25,50
2021-05-02,76
2021-05-09,100
2021-05-16,83
2021-05-23,48
2021-05-30,33
2021-06-06,31
2021-06-13,36
2021-06-20,48
2021-06-27,50
2021-07-04,40
2021-07-11,43
2021-07-18,57
2021-07-25,31
2021-08-01,40
2021-08-08,44
2021-08-15,52
2021-08-22,32
2021-08-29,44
2021-09-05,55
2021-09-12,48
2021-09-19,33
2021-09-26,61
2021-10-03,57
2021-10-10,51
2021-10-17,46
2021-10-24,56
2021-10-31,58
2021-11-07,53
2021-11-14,55
2021-11-21,49
2021-11-28,71
2021-12-05,38
2021-12-12,55
2021-12-19,45
2021-12-26,43
2022-01-02,60
2022-01-09,42
2022-01-16,53
2022-01-23,25
2022-01-30,11
2022-02-06,41
2022-02-13,36
2022-02-20,41
2022-02-27,44
2022-03-06,32
2022-03-13,47
2022-03-20,37
2022-03-27,51
2022-04-03,46
2022-04-10,37
2022-04-17,38
2022-04-24,34
2022-05-01,39
2022-05-08,47
2022-05-15,41
2022-05-22,30
