类别：所有类别

周,人工神经网络: (全球)
2020-05-31,94
2020-06-07,98
2020-06-14,97
2020-06-21,96
2020-06-28,94
2020-07-05,89
2020-07-12,92
2020-07-19,86
2020-07-26,87
2020-08-02,85
2020-08-09,80
2020-08-16,86
2020-08-23,84
2020-08-30,87
2020-09-06,88
2020-09-13,90
2020-09-20,94
2020-09-27,82
2020-10-04,85
2020-10-11,78
2020-10-18,83
2020-10-25,89
2020-11-01,75
2020-11-08,79
2020-11-15,86
2020-11-22,79
2020-11-29,86
2020-12-06,90
2020-12-13,83
2020-12-20,66
2020-12-27,62
2021-01-03,76
2021-01-10,71
2021-01-17,74
2021-01-24,75
2021-01-31,73
2021-02-07,68
2021-02-14,73
2021-02-21,78
2021-02-28,86
2021-03-07,82
2021-03-14,82
2021-03-21,75
2021-03-28,72
2021-04-04,79
2021-04-11,81
2021-04-18,85
2021-04-25,82
2021-05-02,76
2021-05-09,83
2021-05-16,80
2021-05-23,78
2021-05-30,79
2021-06-06,81
2021-06-13,79
2021-06-20,84
2021-06-27,78
2021-07-04,68
2021-07-11,71
2021-07-18,68
2021-07-25,68
2021-08-01,63
2021-08-08,65
2021-08-15,66
2021-08-22,62
2021-08-29,63
2021-09-05,66
2021-09-12,69
2021-09-19,68
2021-09-26,72
2021-10-03,73
2021-10-10,79
2021-10-17,79
2021-10-24,87
2021-10-31,78
2021-11-07,86
2021-11-14,91
2021-11-21,91
2021-11-28,95
2021-12-05,100
2021-12-12,94
2021-12-19,79
2021-12-26,61
2022-01-02,74
2022-01-09,79
2022-01-16,84
2022-01-23,78
2022-01-30,70
2022-02-06,75
2022-02-13,78
2022-02-20,76
2022-02-27,82
2022-03-06,78
2022-03-13,84
2022-03-20,85
2022-03-27,81
2022-04-03,86
2022-04-10,76
2022-04-17,85
2022-04-24,81
2022-05-01,84
2022-05-08,92
2022-05-15,85
2022-05-22,97
