类别：所有类别

周,经济时报: (全球)
2020-05-31,98
2020-06-07,97
2020-06-14,96
2020-06-21,100
2020-06-28,97
2020-07-05,94
2020-07-12,94
2020-07-19,88
2020-07-26,87
2020-08-02,82
2020-08-09,82
2020-08-16,77
2020-08-23,78
2020-08-30,86
2020-09-06,77
2020-09-13,76
2020-09-20,75
2020-09-27,66
2020-10-04,68
2020-10-11,68
2020-10-18,62
2020-10-25,63
2020-11-01,61
2020-11-08,60
2020-11-15,61
2020-11-22,64
2020-11-29,57
2020-12-06,58
2020-12-13,62
2020-12-20,66
2020-12-27,63
2021-01-03,64
2021-01-10,60
2021-01-17,62
2021-01-24,58
2021-01-31,76
2021-02-07,61
2021-02-14,60
2021-02-21,67
2021-02-28,61
2021-03-07,58
2021-03-14,55
2021-03-21,54
2021-03-28,55
2021-04-04,53
2021-04-11,56
2021-04-18,57
2021-04-25,57
2021-05-02,59
2021-05-09,56
2021-05-16,58
2021-05-23,54
2021-05-30,57
2021-06-06,55
2021-06-13,56
2021-06-20,50
2021-06-27,52
2021-07-04,53
2021-07-11,58
2021-07-18,57
2021-07-25,60
2021-08-01,55
2021-08-08,55
2021-08-15,54
2021-08-22,51
2021-08-29,51
2021-09-05,46
2021-09-12,55
2021-09-19,51
2021-09-26,52
2021-10-03,52
2021-10-10,51
2021-10-17,52
2021-10-24,52
2021-10-31,45
2021-11-07,47
2021-11-14,44
2021-11-21,46
2021-11-28,48
2021-12-05,46
2021-12-12,48
2021-12-19,52
2021-12-26,47
2022-01-02,47
2022-01-09,51
2022-01-16,51
2022-01-23,49
2022-01-30,58
2022-02-06,48
2022-02-13,51
2022-02-20,49
2022-02-27,51
2022-03-06,55
2022-03-13,43
2022-03-20,49
2022-03-27,45
2022-04-03,49
2022-04-10,43
2022-04-17,48
2022-04-24,45
2022-05-01,45
2022-05-08,49
2022-05-15,53
2022-05-22,47
