类别：所有类别

周,帝国大厦: (全球)
2020-05-31,85
2020-06-07,60
2020-06-14,58
2020-06-21,51
2020-06-28,52
2020-07-05,60
2020-07-12,52
2020-07-19,50
2020-07-26,46
2020-08-02,43
2020-08-09,52
2020-08-16,54
2020-08-23,56
2020-08-30,56
2020-09-06,66
2020-09-13,70
2020-09-20,65
2020-09-27,53
2020-10-04,58
2020-10-11,55
2020-10-18,54
2020-10-25,58
2020-11-01,60
2020-11-08,61
2020-11-15,58
2020-11-22,60
2020-11-29,56
2020-12-06,58
2020-12-13,57
2020-12-20,68
2020-12-27,84
2021-01-03,55
2021-01-10,54
2021-01-17,66
2021-01-24,57
2021-01-31,54
2021-02-07,62
2021-02-14,62
2021-02-21,58
2021-02-28,54
2021-03-07,53
2021-03-14,57
2021-03-21,67
2021-03-28,79
2021-04-04,59
2021-04-11,54
2021-04-18,56
2021-04-25,65
2021-05-02,67
2021-05-09,59
2021-05-16,58
2021-05-23,61
2021-05-30,68
2021-06-06,62
2021-06-13,58
2021-06-20,59
2021-06-27,58
2021-07-04,69
2021-07-11,60
2021-07-18,64
2021-07-25,62
2021-08-01,58
2021-08-08,63
2021-08-15,64
2021-08-22,56
2021-08-29,63
2021-09-05,86
2021-09-12,90
2021-09-19,69
2021-09-26,60
2021-10-03,61
2021-10-10,64
2021-10-17,68
2021-10-24,62
2021-10-31,69
2021-11-07,70
2021-11-14,67
2021-11-21,71
2021-11-28,69
2021-12-05,78
2021-12-12,74
2021-12-19,80
2021-12-26,100
2022-01-02,69
2022-01-09,67
2022-01-16,67
2022-01-23,63
2022-01-30,70
2022-02-06,62
2022-02-13,64
2022-02-20,68
2022-02-27,66
2022-03-06,69
2022-03-13,72
2022-03-20,72
2022-03-27,69
2022-04-03,64
2022-04-10,73
2022-04-17,76
2022-04-24,66
2022-05-01,76
2022-05-08,71
2022-05-15,76
2022-05-22,81
