类别：所有类别

周,美军撤出阿富汗: (全球)
2019-06-02,<1
2019-06-09,1
2019-06-16,<1
2019-06-23,<1
2019-06-30,1
2019-07-07,<1
2019-07-14,1
2019-07-21,<1
2019-07-28,2
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,1
2019-09-22,<1
2019-09-29,<1
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,<1
2019-11-03,1
2019-11-10,<1
2019-11-17,<1
2019-11-24,1
2019-12-01,1
2019-12-08,<1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,2
2020-01-12,<1
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,2
2020-02-16,<1
2020-02-23,1
2020-03-01,2
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,<1
2020-04-05,1
2020-04-12,<1
2020-04-19,<1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,<1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,2
2020-06-28,3
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,5
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,2
2021-01-17,1
2021-01-24,<1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,<1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,14
2021-04-18,5
2021-04-25,4
2021-05-02,4
2021-05-09,2
2021-05-16,1
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,1
2021-06-20,2
2021-06-27,3
2021-07-04,11
2021-07-11,6
2021-07-18,3
2021-07-25,3
2021-08-01,2
2021-08-08,19
2021-08-15,100
2021-08-22,39
2021-08-29,31
2021-09-05,8
2021-09-12,9
2021-09-19,5
2021-09-26,6
2021-10-03,3
2021-10-10,2
2021-10-17,3
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,2
2021-12-05,3
2021-12-12,2
2021-12-19,1
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,1
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,3
2022-03-06,2
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,2
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,2
2022-05-22,1
