类别：所有类别

周,德国足球甲级联赛: (全球)
2020-05-31,84
2020-06-07,69
2020-06-14,94
2020-06-21,51
2020-06-28,30
2020-07-05,17
2020-07-12,9
2020-07-19,8
2020-07-26,7
2020-08-02,7
2020-08-09,8
2020-08-16,7
2020-08-23,6
2020-08-30,5
2020-09-06,7
2020-09-13,38
2020-09-20,43
2020-09-27,56
2020-10-04,31
2020-10-11,30
2020-10-18,51
2020-10-25,50
2020-11-01,52
2020-11-08,23
2020-11-15,36
2020-11-22,50
2020-11-29,49
2020-12-06,56
2020-12-13,95
2020-12-20,33
2020-12-27,36
2021-01-03,78
2021-01-10,58
2021-01-17,96
2021-01-24,63
2021-01-31,62
2021-02-07,49
2021-02-14,76
2021-02-21,66
2021-02-28,77
2021-03-07,66
2021-03-14,66
2021-03-21,34
2021-03-28,40
2021-04-04,60
2021-04-11,63
2021-04-18,100
2021-04-25,42
2021-05-02,68
2021-05-09,85
2021-05-16,77
2021-05-23,33
2021-05-30,7
2021-06-06,4
2021-06-13,4
2021-06-20,5
2021-06-27,5
2021-07-04,4
2021-07-11,5
2021-07-18,8
2021-07-25,7
2021-08-01,8
2021-08-08,45
2021-08-15,61
2021-08-22,71
2021-08-29,32
2021-09-05,37
2021-09-12,61
2021-09-19,76
2021-09-26,53
2021-10-03,39
2021-10-10,38
2021-10-17,65
2021-10-24,64
2021-10-31,57
2021-11-07,27
2021-11-14,37
2021-11-21,52
2021-11-28,62
2021-12-05,57
2021-12-12,83
2021-12-19,25
2021-12-26,10
2022-01-02,37
2022-01-09,43
2022-01-16,41
2022-01-23,27
2022-01-30,30
2022-02-06,47
2022-02-13,43
2022-02-20,53
2022-02-27,45
2022-03-06,39
2022-03-13,55
2022-03-20,29
2022-03-27,30
2022-04-03,48
2022-04-10,44
2022-04-17,63
2022-04-24,49
2022-05-01,49
2022-05-08,58
2022-05-15,29
2022-05-22,18
