类别：所有类别

周,伊朗: (全球)
2020-05-31,34
2020-06-07,30
2020-06-14,25
2020-06-21,23
2020-06-28,36
2020-07-05,30
2020-07-12,76
2020-07-19,88
2020-07-26,44
2020-08-02,43
2020-08-09,36
2020-08-16,43
2020-08-23,34
2020-08-30,26
2020-09-06,32
2020-09-13,29
2020-09-20,33
2020-09-27,24
2020-10-04,29
2020-10-11,31
2020-10-18,32
2020-10-25,29
2020-11-01,26
2020-11-08,26
2020-11-15,33
2020-11-22,52
2020-11-29,71
2020-12-06,39
2020-12-13,28
2020-12-20,27
2020-12-27,28
2021-01-03,38
2021-01-10,22
2021-01-17,27
2021-01-24,28
2021-01-31,21
2021-02-07,20
2021-02-14,23
2021-02-21,26
2021-02-28,22
2021-03-07,30
2021-03-14,24
2021-03-21,43
2021-03-28,78
2021-04-04,48
2021-04-11,55
2021-04-18,33
2021-04-25,28
2021-05-02,31
2021-05-09,36
2021-05-16,38
2021-05-23,42
2021-05-30,63
2021-06-06,45
2021-06-13,43
2021-06-20,48
2021-06-27,33
2021-07-04,31
2021-07-11,36
2021-07-18,34
2021-07-25,57
2021-08-01,40
2021-08-08,34
2021-08-15,64
2021-08-22,38
2021-08-29,45
2021-09-05,35
2021-09-12,38
2021-09-19,27
2021-09-26,34
2021-10-03,26
2021-10-10,41
2021-10-17,25
2021-10-24,26
2021-10-31,33
2021-11-07,31
2021-11-14,34
2021-11-21,30
2021-11-28,33
2021-12-05,37
2021-12-12,38
2021-12-19,25
2021-12-26,29
2022-01-02,31
2022-01-09,28
2022-01-16,44
2022-01-23,37
2022-01-30,25
2022-02-06,31
2022-02-13,31
2022-02-20,40
2022-02-27,59
2022-03-06,52
2022-03-13,100
2022-03-20,60
2022-03-27,48
2022-04-03,27
2022-04-10,37
2022-04-17,30
2022-04-24,31
2022-05-01,37
2022-05-08,28
2022-05-15,35
2022-05-22,35
