类别：所有类别

周,苹果公司: (全球)
2020-05-31,39
2020-06-07,43
2020-06-14,44
2020-06-21,23
2020-06-28,35
2020-07-05,39
2020-07-12,50
2020-07-19,27
2020-07-26,37
2020-08-02,89
2020-08-09,45
2020-08-16,62
2020-08-23,39
2020-08-30,44
2020-09-06,42
2020-09-13,85
2020-09-20,32
2020-09-27,23
2020-10-04,26
2020-10-11,37
2020-10-18,37
2020-10-25,71
2020-11-01,22
2020-11-08,50
2020-11-15,37
2020-11-22,49
2020-11-29,56
2020-12-06,43
2020-12-13,24
2020-12-20,36
2020-12-27,33
2021-01-03,54
2021-01-10,47
2021-01-17,37
2021-01-24,33
2021-01-31,50
2021-02-07,23
2021-02-14,51
2021-02-21,43
2021-02-28,44
2021-03-07,40
2021-03-14,19
2021-03-21,57
2021-03-28,49
2021-04-04,27
2021-04-11,44
2021-04-18,50
2021-04-25,17
2021-05-02,34
2021-05-09,20
2021-05-16,44
2021-05-23,37
2021-05-30,45
2021-06-06,47
2021-06-13,40
2021-06-20,48
2021-06-27,31
2021-07-04,28
2021-07-11,52
2021-07-18,40
2021-07-25,31
2021-08-01,28
2021-08-08,42
2021-08-15,38
2021-08-22,36
2021-08-29,46
2021-09-05,44
2021-09-12,80
2021-09-19,51
2021-09-26,50
2021-10-03,33
2021-10-10,56
2021-10-17,54
2021-10-24,50
2021-10-31,100
2021-11-07,61
2021-11-14,29
2021-11-21,61
2021-11-28,70
2021-12-05,33
2021-12-12,26
2021-12-19,48
2021-12-26,32
2022-01-02,49
2022-01-09,41
2022-01-16,33
2022-01-23,44
2022-01-30,27
2022-02-06,46
2022-02-13,76
2022-02-20,30
2022-02-27,45
2022-03-06,76
2022-03-13,51
2022-03-20,53
2022-03-27,39
2022-04-03,27
2022-04-10,34
2022-04-17,39
2022-04-24,55
2022-05-01,65
2022-05-08,47
2022-05-15,45
2022-05-22,41
