类别：所有类别

周,费内巴切体育俱乐部: (全球)
2020-05-31,7
2020-06-07,20
2020-06-14,27
2020-06-21,22
2020-06-28,15
2020-07-05,18
2020-07-12,17
2020-07-19,26
2020-07-26,11
2020-08-02,18
2020-08-09,20
2020-08-16,22
2020-08-23,22
2020-08-30,29
2020-09-06,32
2020-09-13,21
2020-09-20,35
2020-09-27,58
2020-10-04,25
2020-10-11,11
2020-10-18,24
2020-10-25,29
2020-11-01,33
2020-11-08,10
2020-11-15,20
2020-11-22,19
2020-11-29,41
2020-12-06,35
2020-12-13,32
2020-12-20,33
2020-12-27,15
2021-01-03,42
2021-01-10,42
2021-01-17,51
2021-01-24,53
2021-01-31,100
2021-02-07,59
2021-02-14,21
2021-02-21,34
2021-02-28,54
2021-03-07,31
2021-03-14,34
2021-03-21,42
2021-03-28,15
2021-04-04,52
2021-04-11,32
2021-04-18,38
2021-04-25,56
2021-05-02,55
2021-05-09,65
2021-05-16,17
2021-05-23,12
2021-05-30,13
2021-06-06,11
2021-06-13,11
2021-06-20,13
2021-06-27,18
2021-07-04,15
2021-07-11,20
2021-07-18,19
2021-07-25,27
2021-08-01,23
2021-08-08,34
2021-08-15,62
2021-08-22,61
2021-08-29,45
2021-09-05,19
2021-09-12,61
2021-09-19,46
2021-09-26,50
2021-10-03,23
2021-10-10,15
2021-10-17,62
2021-10-24,41
2021-10-31,38
2021-11-07,28
2021-11-14,16
2021-11-21,87
2021-11-28,34
2021-12-05,56
2021-12-12,42
2021-12-19,69
2021-12-26,43
2022-01-02,17
2022-01-09,41
2022-01-16,32
2022-01-23,16
2022-01-30,24
2022-02-06,31
2022-02-13,30
2022-02-20,35
2022-02-27,25
2022-03-06,33
2022-03-13,26
2022-03-20,27
2022-03-27,20
2022-04-03,21
2022-04-10,76
2022-04-17,42
2022-04-24,29
2022-05-01,24
2022-05-08,36
2022-05-15,29
2022-05-22,14
