类别：所有类别

周,Firefox浏览器: (全球)
2020-05-31,96
2020-06-07,95
2020-06-14,92
2020-06-21,96
2020-06-28,97
2020-07-05,96
2020-07-12,94
2020-07-19,91
2020-07-26,92
2020-08-02,94
2020-08-09,89
2020-08-16,92
2020-08-23,99
2020-08-30,100
2020-09-06,96
2020-09-13,93
2020-09-20,93
2020-09-27,91
2020-10-04,86
2020-10-11,84
2020-10-18,84
2020-10-25,84
2020-11-01,80
2020-11-08,87
2020-11-15,87
2020-11-22,80
2020-11-29,81
2020-12-06,80
2020-12-13,85
2020-12-20,76
2020-12-27,72
2021-01-03,81
2021-01-10,87
2021-01-17,83
2021-01-24,85
2021-01-31,85
2021-02-07,81
2021-02-14,79
2021-02-21,85
2021-02-28,84
2021-03-07,80
2021-03-14,73
2021-03-21,77
2021-03-28,71
2021-04-04,72
2021-04-11,75
2021-04-18,73
2021-04-25,71
2021-05-02,70
2021-05-09,68
2021-05-16,69
2021-05-23,68
2021-05-30,85
2021-06-06,81
2021-06-13,70
2021-06-20,71
2021-06-27,70
2021-07-04,68
2021-07-11,69
2021-07-18,63
2021-07-25,66
2021-08-01,63
2021-08-08,63
2021-08-15,64
2021-08-22,67
2021-08-29,72
2021-09-05,71
2021-09-12,72
2021-09-19,74
2021-09-26,78
2021-10-03,85
2021-10-10,78
2021-10-17,73
2021-10-24,71
2021-10-31,74
2021-11-07,75
2021-11-14,74
2021-11-21,71
2021-11-28,72
2021-12-05,74
2021-12-12,77
2021-12-19,68
2021-12-26,66
2022-01-02,71
2022-01-09,90
2022-01-16,75
2022-01-23,75
2022-01-30,75
2022-02-06,78
2022-02-13,76
2022-02-20,69
2022-02-27,68
2022-03-06,76
2022-03-13,75
2022-03-20,72
2022-03-27,69
2022-04-03,67
2022-04-10,66
2022-04-17,64
2022-04-24,62
2022-05-01,63
2022-05-08,64
2022-05-15,61
2022-05-22,65
